"REF_DATE","GEO","DGUID","Beneficiary detail","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-08","Ontario","2016A000235","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549428","7.2.1.1","511580","","","","0"
"2020-11","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","43490","","","","0"
"2020-12","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","49950","","","","0"
"2021-01","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","51720","","","","0"
"2021-02","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","50840","","","","0"
"2021-03","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","49030","","","","0"
"2021-04","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","49270","","","","0"
"2021-05","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","50740","","","","0"
"2021-06","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","51280","","","","0"
"2021-07","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","50510","","","","0"
"2021-08","Manitoba","2016A000246","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549441","8.2.1.1","48400","","","","0"
"2020-11","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","35640","","","","0"
"2020-12","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","36610","","","","0"
"2021-01","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","38570","","","","0"
"2021-02","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","41640","","","","0"
"2021-03","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","40530","","","","0"
"2021-04","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","40580","","","","0"
"2021-05","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","39580","","","","0"
"2021-06","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","39260","","","","0"
"2021-07","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","39800","","","","0"
"2021-08","Saskatchewan","2016A000247","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549454","9.2.1.1","40050","","","","0"
"2020-11","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","175070","","","","0"
"2020-12","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","183670","","","","0"
"2021-01","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","208240","","","","0"
"2021-02","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","206990","","","","0"
"2021-03","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","197770","","","","0"
"2021-04","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","199820","","","","0"
"2021-05","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","205230","","","","0"
"2021-06","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","189430","","","","0"
"2021-07","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","183170","","","","0"
"2021-08","Alberta","2016A000248","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549467","10.2.1.1","176860","","","","0"
"2020-11","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","156710","","","","0"
"2020-12","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","151730","","","","0"
"2021-01","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","147520","","","","0"
"2021-02","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","162480","","","","0"
"2021-03","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","167490","","","","0"
"2021-04","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","182000","","","","0"
"2021-05","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","190870","","","","0"
"2021-06","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","191740","","","","0"
"2021-07","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","168350","","","","0"
"2021-08","British Columbia","2016A000259","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549480","11.2.1.1","161780","","","","0"
"2020-11","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1280","","","","0"
"2020-12","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1360","","","","0"
"2021-01","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1370","","","","0"
"2021-02","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1480","","","","0"
"2021-03","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1520","","","","0"
"2021-04","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1630","","","","0"
"2021-05","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1550","","","","0"
"2021-06","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1560","","","","0"
"2021-07","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1490","","","","0"
"2021-08","Yukon","2016A000260","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549493","12.2.1.1","1480","","","","0"
"2020-11","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2020-12","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-01","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-02","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-03","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-04","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-05","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-06","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-07","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2021-08","Northwest Territories including Nunavut","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549506","15.2.1.1","","..","","","0"
"2020-11","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1490","","","","0"
"2020-12","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1540","","","","0"
"2021-01","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1450","","","","0"
"2021-02","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1470","","","","0"
"2021-03","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1570","","","","0"
"2021-04","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1680","","","","0"
"2021-05","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1780","","","","0"
"2021-06","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1840","","","","0"
"2021-07","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1850","","","","0"
"2021-08","Northwest Territories","2016A000261","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549519","13.2.1.1","1900","","","","0"
"2020-11","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","690","","","","0"
"2020-12","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","740","","","","0"
"2021-01","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","750","","","","0"
"2021-02","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","820","","","","0"
"2021-03","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","870","","","","0"
"2021-04","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","910","","","","0"
"2021-05","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","990","","","","0"
"2021-06","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","1120","","","","0"
"2021-07","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","1120","","","","0"
"2021-08","Nunavut","2016A000262","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549532","14.2.1.1","1230","","","","0"
"2020-11","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","510","","","","0"
"2020-12","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","540","","","","0"
"2021-01","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","640","","","","0"
"2021-02","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","770","","","","0"
"2021-03","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","820","","","","0"
"2021-04","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","950","","","","0"
"2021-05","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","1080","","","","0"
"2021-06","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","1170","","","","0"
"2021-07","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","1270","","","","0"
"2021-08","Unclassified","","Regular benefits","Both sexes","15 years and over","Persons","249","units","0","v64549545","16.2.1.1","1380","","","","0"


